selected_features
station_id
time
values
arrivals
departures
hour
dow
is_weekend
sensor_day
latitude
longitude
station_name
spd_med_lag6
tt_med
wspd_obs_roll6h_mean
pm25_mean_lag24
pm25_mean_roll3h_mean
spd_med_roll24h_sum
pm25_mean
pm25_mean_lag3
temp_obs_roll24h_mean
wspd_obs_roll6h_sum
pm25_mean_roll6h_mean
pm25_mean_lag6
pm25_mean_roll24h_mean
pm25_mean_roll6h_sum
pm25_mean_roll3h_sum
temp_obs_roll24h_sum
rh_obs
pm25_mean_lag1
pm25_mean_roll24h_sum
wspd_obs_roll24h_mean
